ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,LICENSE NUMBER,APPLICATION TYPE,PAYMENT DATE,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,DATE ISSUED,LICENSE STATUS,LATITUDE,LONGITUDE,LOCATION
8084,1,SOLID GOLD FOOD & LIQUOR INC,SOLID GOLD FOOD & LIQUOR,3821-3823 W ROOSEVELT RD,IL,60624,24,28,10,1474,Package Goods,24261,RENEW,11/4/2003,11/16/2003,8/15/2004,11/6/2003,AAC,41.86611949,-87.72092757,"(41.86611949397407, -87.72092757399619)"
6975,2,"LEGION LIQUORS, INC.",WAREHOUSE LIQUORS,634 S WABASH AVE,IL,60605,4,49,1,1474,Package Goods,1122923,RENEW,11/8/2004,11/16/2004,11/15/2005,11/9/2004,AAC,41.87366551,-87.62612548,"(41.873665507986445, -87.62612547903451)"
464901,1,1410 W DEVON LLC,HAHN LIQUORS,1410 W DEVON AVE ST,IL,60660,49,2,24,1474,Package Goods,2704205,RENEW,6/16/2024,8/16/2024,8/15/2026,6/17/2024,AAI,,,
75,1,GRAND WESTERN LTD.,DI CARLO'S ARMANETTI LIQUORS,515 N WESTERN AVE 1ST,IL,60612,36,46,12,1474,Package Goods,413,RENEW,7/29/2016,9/16/2016,9/15/2018,8/1/2016,AAI,41.89114238,-87.68655928,"(41.89114238013681, -87.68655928125514)"
86907,2,SHLIMON SAMUEL/ADNAR SHAMOLI,EDEN'S FOOD & LIQUORS,4805 W FOSTER AVE 1ST,IL,60630,39,24,16,1474,Package Goods,40219,RENEW,5/9/2003,5/16/2003,11/15/2003,5/12/2003,AAI,41.97522809,-87.74823152,"(41.97522809288625, -87.74823151687202)"
6252,1,L & M FOOD & LIQUOR,L & M FOOD & LIQUOR INC,1968 W PETERSON AVE,IL,60660,40,9,24,1474,Package Goods,20521,RENEW,5/5/2003,5/16/2003,11/15/2003,5/6/2003,AAI,41.99078621,-87.67976037,"(41.99078621175966, -87.67976036770456)"
11112,1,THE LAXI CORPORATION,LAXI LIQUOR,6922 W GRAND AVE 1ST,IL,60707,36,2,25,1474,Package Goods,47782,RENEW,1/25/2012,2/16/2012,2/15/2014,1/26/2012,AAI,41.9236807,-87.79867613,"(41.923680700297396, -87.79867612863558)"
6667,1,"SAN LORENZO FOOD & LIQUOR, INC",SAN LORENZO FOOD & LIQUOR,3300 W ARMITAGE AVE,IL,60647,26,14,14,1474,Package Goods,42844,RENEW,5/7/2002,5/16/2002,11/15/2002,5/8/2002,AAI,41.91746929,-87.71035988,"(41.91746929058445, -87.7103598781026)"
6028,1,"A & Q FOOD & LIQUOR, INC.",A & Q FOOD & LIQUOR INC,157 W 103RD ST 1ST,IL,60628,9,18,5,1474,Package Goods,33862,RENEW,11/4/2003,11/16/2003,11/15/2004,11/26/2003,AAI,41.70699271,-87.62815394,"(41.70699270909278, -87.62815394274185)"
6188,1,WRIGHTWOOD FOOD & LIQUOR INC.,WRIGHTWOOD FOOD & LIQUOR,1324 W WRIGHTWOOD AVE,IL,60614,32,39,19,1474,Package Goods,28276,RENEW,5/8/2006,5/16/2006,5/15/2007,5/9/2006,AAI,41.92898022,-87.66209151,"(41.92898022186883, -87.66209150792767)"
16133,1,"DIA FOOD & LIQUOR, INC.",DIA FOOD & LIQUOR,1478 W 115TH ST 1ST,IL,60643,21,55,22,1474,Package Goods,41856,RENEW,7/14/2011,7/16/2011,7/15/2013,7/14/2011,AAI,41.6849558,-87.65972583,"(41.68495579836147, -87.65972582896248)"
263,1,MR G'S FOOD & LIQUOR INC,MR G'S FOOD & LIQUOR,332-334 E 58TH ST 1ST,IL,60637,20,11,2,1474,Package Goods,1431,RENEW,8/12/2004,8/16/2004,8/15/2005,8/13/2004,AAI,41.78942986,-87.61784034,"(41.789429857455325, -87.61784033976139)"
